Entity,Code,Year,Annual plastic production between 1950 and 2019,Plastic use - projections
Canada,CAN,2019,,7539000
Canada,CAN,2020,,7245800
Canada,CAN,2021,,7377200
Canada,CAN,2022,,7583900
Canada,CAN,2023,,7720900
Canada,CAN,2024,,7860500
Canada,CAN,2025,,7980000
Canada,CAN,2026,,8105600.5
Canada,CAN,2027,,8225199.5
Canada,CAN,2028,,8339599.5
Canada,CAN,2029,,8453000
Canada,CAN,2030,,8569000
Canada,CAN,2031,,8684200
Canada,CAN,2032,,8802900
Canada,CAN,2033,,8924500
Canada,CAN,2034,,9058800
Canada,CAN,2035,,9197800
Canada,CAN,2036,,9338200
Canada,CAN,2037,,9486700
Canada,CAN,2038,,9650800
Canada,CAN,2039,,9827800
Canada,CAN,2040,,10018000
Canada,CAN,2041,,10206500
Canada,CAN,2042,,10399500
Canada,CAN,2043,,10595800
Canada,CAN,2044,,10793500
Canada,CAN,2045,,10989100
Canada,CAN,2046,,11185100
Canada,CAN,2047,,11385200
Canada,CAN,2048,,11595000
Canada,CAN,2049,,11793600
Canada,CAN,2050,,11980600
Canada,CAN,2051,,12205900
Canada,CAN,2052,,12435800
Canada,CAN,2053,,12668700
Canada,CAN,2054,,12906300
Canada,CAN,2055,,13146900
Canada,CAN,2056,,13393000
Canada,CAN,2057,,13642200
Canada,CAN,2058,,13896900
Canada,CAN,2059,,14155200
Canada,CAN,2060,,14411000
China,CHN,2019,,94006104
China,CHN,2020,,93348000
China,CHN,2021,,96310800
China,CHN,2022,,100191800
China,CHN,2023,,103762200
China,CHN,2024,,107188600
China,CHN,2025,,110471704
China,CHN,2026,,113697200
China,CHN,2027,,116869400
China,CHN,2028,,120034800
China,CHN,2029,,123245700
China,CHN,2030,,126488400
China,CHN,2031,,129760190
China,CHN,2032,,133040600
China,CHN,2033,,136289390
China,CHN,2034,,139475100
China,CHN,2035,,142562000
China,CHN,2036,,145522510
China,CHN,2037,,148357400
China,CHN,2038,,151083410
China,CHN,2039,,153710300
China,CHN,2040,,156209600
China,CHN,2041,,158599100
China,CHN,2042,,160966600
China,CHN,2043,,163310400
China,CHN,2044,,165595500
China,CHN,2045,,167784500
China,CHN,2046,,169927900
China,CHN,2047,,172046910
China,CHN,2048,,174183800
China,CHN,2049,,176313710
China,CHN,2050,,178485310
China,CHN,2051,,180721300
China,CHN,2052,,182997810
China,CHN,2053,,185303200
China,CHN,2054,,187645200
China,CHN,2055,,189995800
China,CHN,2056,,192510700
China,CHN,2057,,195048800
China,CHN,2058,,197639490
China,CHN,2059,,200251490
China,CHN,2060,,203120300
India,IND,2019,,29333400
India,IND,2020,,26904800
India,IND,2021,,29277400
India,IND,2022,,31372800
India,IND,2023,,33860000
India,IND,2024,,36514800
India,IND,2025,,39268000
India,IND,2026,,42063900
India,IND,2027,,44901200
India,IND,2028,,47800600
India,IND,2029,,50779700
India,IND,2030,,53848300
India,IND,2031,,57035000
India,IND,2032,,60290100
India,IND,2033,,63613700
India,IND,2034,,66992300
India,IND,2035,,70468400
India,IND,2036,,74003500
India,IND,2037,,77566600
India,IND,2038,,81176500
India,IND,2039,,84856000
India,IND,2040,,88571800
India,IND,2041,,92247496
India,IND,2042,,95915100
India,IND,2043,,99569400
India,IND,2044,,103251704
India,IND,2045,,107002200
India,IND,2046,,110763704
India,IND,2047,,114503896
India,IND,2048,,118283700
India,IND,2049,,121997900
India,IND,2050,,125644100
India,IND,2051,,129362300
India,IND,2052,,133034610
India,IND,2053,,136646190
India,IND,2054,,140204600
India,IND,2055,,143681100
India,IND,2056,,147105000
India,IND,2057,,150461600
India,IND,2058,,153786190
India,IND,2059,,157071500
India,IND,2060,,160432000
Latin America,,2019,,22863400
Latin America,,2020,,23246300
Latin America,,2021,,24186400
Latin America,,2022,,24914500
Latin America,,2023,,25627400
Latin America,,2024,,26325300
Latin America,,2025,,26973400
Latin America,,2026,,27590500
Latin America,,2027,,28172800
Latin America,,2028,,28785800
Latin America,,2029,,29396000
Latin America,,2030,,30024600
Latin America,,2031,,30665700
Latin America,,2032,,31314300
Latin America,,2033,,31958700
Latin America,,2034,,32586700
Latin America,,2035,,33122200
Latin America,,2036,,33590800
Latin America,,2037,,34345500
Latin America,,2038,,35101500
Latin America,,2039,,35865300
Latin America,,2040,,36626900
Latin America,,2041,,37382300
Latin America,,2042,,38140400
Latin America,,2043,,38905300
Latin America,,2044,,39673300
Latin America,,2045,,40430700
Latin America,,2046,,41197400
Latin America,,2047,,41948600
Latin America,,2048,,42687000
Latin America,,2049,,43436600
Latin America,,2050,,44203700
Latin America,,2051,,44962000
Latin America,,2052,,45728800
Latin America,,2053,,46509300
Latin America,,2054,,47298200
Latin America,,2055,,48103500
Latin America,,2056,,48919300
Latin America,,2057,,49754100
Latin America,,2058,,50603200
Latin America,,2059,,51476100
Latin America,,2060,,52378300
Middle East & North Africa,,2019,,21170400
Middle East & North Africa,,2020,,21488300
Middle East & North Africa,,2021,,21914300
Middle East & North Africa,,2022,,22610500
Middle East & North Africa,,2023,,23247900
Middle East & North Africa,,2024,,23871800
Middle East & North Africa,,2025,,24556700
Middle East & North Africa,,2026,,25342300
Middle East & North Africa,,2027,,26129900
Middle East & North Africa,,2028,,27030000
Middle East & North Africa,,2029,,28011100
Middle East & North Africa,,2030,,29030100
Middle East & North Africa,,2031,,30062900
Middle East & North Africa,,2032,,31133000
Middle East & North Africa,,2033,,32207902
Middle East & North Africa,,2034,,33345902
Middle East & North Africa,,2035,,34464100
Middle East & North Africa,,2036,,35574200
Middle East & North Africa,,2037,,36697100
Middle East & North Africa,,2038,,37884900
Middle East & North Africa,,2039,,39114400
Middle East & North Africa,,2040,,40390500
Middle East & North Africa,,2041,,41719300
Middle East & North Africa,,2042,,43092400
Middle East & North Africa,,2043,,44580400
Middle East & North Africa,,2044,,46142600
Middle East & North Africa,,2045,,47695000
Middle East & North Africa,,2046,,49297300
Middle East & North Africa,,2047,,50894300
Middle East & North Africa,,2048,,52526300
Middle East & North Africa,,2049,,54216900
Middle East & North Africa,,2050,,56017700
Middle East & North Africa,,2051,,57683400
Middle East & North Africa,,2052,,59376300
Middle East & North Africa,,2053,,61115700
Middle East & North Africa,,2054,,62881300
Middle East & North Africa,,2055,,64705804
Middle East & North Africa,,2056,,66499900
Middle East & North Africa,,2057,,68374400
Middle East & North Africa,,2058,,70282696
Middle East & North Africa,,2059,,72278100
Middle East & North Africa,,2060,,74355200
OECD Asia,,2019,,18206900
OECD Asia,,2020,,17857600
OECD Asia,,2021,,18058700
OECD Asia,,2022,,18222800
OECD Asia,,2023,,18432900
OECD Asia,,2024,,18677800
OECD Asia,,2025,,18958800
OECD Asia,,2026,,19264300
OECD Asia,,2027,,19580600
OECD Asia,,2028,,19918300
OECD Asia,,2029,,20263200
OECD Asia,,2030,,20609800
OECD Asia,,2031,,20979600
OECD Asia,,2032,,21355800
OECD Asia,,2033,,21744400
OECD Asia,,2034,,22134600
OECD Asia,,2035,,22536300
OECD Asia,,2036,,22939800
OECD Asia,,2037,,23346700
OECD Asia,,2038,,23756000
OECD Asia,,2039,,24154400
OECD Asia,,2040,,24550600
OECD Asia,,2041,,24941900
OECD Asia,,2042,,25328200
OECD Asia,,2043,,25709900
OECD Asia,,2044,,26079400
OECD Asia,,2045,,26446300
OECD Asia,,2046,,26803000
OECD Asia,,2047,,27166800
OECD Asia,,2048,,27525800
OECD Asia,,2049,,27883200
OECD Asia,,2050,,28249500
OECD Asia,,2051,,28642800
OECD Asia,,2052,,29051400
OECD Asia,,2053,,29468700
OECD Asia,,2054,,29901100
OECD Asia,,2055,,30339400
OECD Asia,,2056,,30791200
OECD Asia,,2057,,31244600
OECD Asia,,2058,,31711600
OECD Asia,,2059,,32182000
OECD Asia,,2060,,32608898
OECD European Union,,2019,,63673400
OECD European Union,,2020,,62244700
OECD European Union,,2021,,62751100
OECD European Union,,2022,,63284100
OECD European Union,,2023,,63887200
OECD European Union,,2024,,64615996
OECD European Union,,2025,,65465796
OECD European Union,,2026,,66419504
